n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13203*002;MARSEILLE-3E - 28 Rue Jobin;28 Rue Jobin 0 MARSEILLE-3E;13203;5,389845;43,309831;2;FR*M13*E13203*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13203*002;MARSEILLE-3E - 28 Rue Jobin;28 Rue Jobin 0 MARSEILLE-3E;13203;5,389845;43,309831;2;FR*M13*E13203*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13114*001;VENTABREN - Avenue Charles De Gaulle;Avenue Charles De Gaulle 13122 VENTABREN;13114;5,293237;43,54659;2;FR*M13*E13114*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13114*001;VENTABREN - Avenue Charles De Gaulle;Avenue Charles De Gaulle 13122 VENTABREN;13114;5,293237;43,54659;2;FR*M13*E13114*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13055*001;MARSEILLE - Parking Relais Einstein;Parking Relais Einstein 13000 MARSEILLE;13055;5,448569;43,345406;2;FR*M13*E13055*001*2;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13055*001;MARSEILLE - Parking Relais Einstein;Parking Relais Einstein 13000 MARSEILLE;13055;5,448569;43,345406;2;FR*M13*E13055*001*1;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13060*001;MEYREUIL - Parking Mourvedre - Rue Des Mineurs;Parking Mourvedre - Rue Des Mineurs 0 MEYREUIL;13060;5,49543;43,473074;2;FR*M13*E13060*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13216*002;MARSEILLE-16E - 9 Rue Rabelais;9 Rue Rabelais 0 MARSEILLE-16E;13216;5,337002;43,357724;0;FR*M13*E13216*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13216*002;MARSEILLE-16E - 9 Rue Rabelais;9 Rue Rabelais 0 MARSEILLE-16E;13216;5,337002;43,357724;0;FR*M13*E13216*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*012;ISTRES - Cec Stade;Cec Stade 13800 ISTRES;13047;4,992965;43,50076;4;FR*M13*E13047*012*3;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*012;ISTRES - Cec Stade;Cec Stade 13800 ISTRES;13047;4,992965;43,50076;4;FR*M13*E13047*012*4;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*012;ISTRES - Cec Stade;Cec Stade 13800 ISTRES;13047;4,992965;43,50076;4;FR*M13*E13047*012*1;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13047*012;ISTRES - Cec Stade;Cec Stade 13800 ISTRES;13047;4,992965;43,50076;4;FR*M13*E13047*012*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13022*002;CASSIS - Parking Daudet;Parking Daudet 13260 CASSIS;13022;5,536259;43,218608;2;FR*M13*E13022*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13111*001;VAUVENARGUES - 5  Boulevard Moraliste;5 Boulevard Moraliste 0 VAUVENARGUES;13111;5,598967;43,555415;0;FR*M13*E13111*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13001*005;AIX-EN-PROVENCE - Cours Sextius;Cours Sextius 13090 AIX-EN-PROVENCE;13001;5,443726;43,528782;2;FR*M13*E13001*005*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13001*005;AIX-EN-PROVENCE - Cours Sextius;Cours Sextius 13090 AIX-EN-PROVENCE;13001;5,443726;43,528782;2;FR*M13*E13001*005*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13112*001;VELAUX - Rue Diderot (Pl Du Bon Puit);Rue Diderot (Pl Du Bon Puit) 13880 VELAUX;13112;5,255214;43,523198;2;FR*M13*E13112*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13112*001;VELAUX - Rue Diderot (Pl Du Bon Puit);Rue Diderot (Pl Du Bon Puit) 13880 VELAUX;13112;5,255214;43,523198;2;FR*M13*E13112*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13204*001;MARSEILLE-4E - Avenue Des Chutes Lavie;Avenue Des Chutes Lavie 13004 MARSEILLE-4E;13204;5,397974;43,315138;2;FR*M13*E13204*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13204*001;MARSEILLE-4E - Avenue Des Chutes Lavie;Avenue Des Chutes Lavie 13004 MARSEILLE-4E;13204;5,397974;43,315138;2;FR*M13*E13204*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13056*002;MARTIGUES - Avenue Du Président Salvadore Allende;Avenue Du Président Salvadore Allende 13500 MARTIGUES;13056;5,056633;43,408601;0;FR*M13*E13056*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13056*002;MARTIGUES - Avenue Du Président Salvadore Allende;Avenue Du Président Salvadore Allende 13500 MARTIGUES;13056;5,056633;43,408601;0;FR*M13*E13056*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13041*004;GARDANNE - Parking De La Cité Administrative; Parking De La Cité Administrative 0 GARDANNE;13041;5,47019;43,451656;0;FR*M13*E13041*004*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
